id;citizen_id;log_type;message;create_date
1;18921;51859;Borders South Georgia and the South Sandwich Islands Kenya;2020-10-28T18:36:04
2;89876;15474;Nebraska;2020-10-28T20:19:02
3;45963;65904;Borders Buckinghamshire hacking;2020-10-28T20:02:20
4;56591;78479;Bike Fantastic Cotton Keyboard Personal Loan Account;2020-10-28T21:08:22
5;11622;87799;Taka override Coves;2020-10-28T03:51:20
6;70102;68439;support parallelism Courts;2020-10-28T02:07:12
7;51081;29247;software;2020-10-28T07:47:21
8;98705;64316;Shirt compress;2020-10-28T05:00:06
9;82515;66307;Manager copying transmitter;2020-10-28T21:47:30
10;6216;72496;matrix;2020-10-28T05:44:40
